timestamp,happiness,sadness,anger,fear,disgust,surprise,neutral,predominant_emotion,emotion_category
2024-04-05 17:27:33,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:33,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:33,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:33,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:34,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:27:35,0,0,0,0,0,0,0,happiness,positive
